hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
56,433,780,96,0.2217,10,0.0231,62,0.1432,25,0.0577,31,0.0716,44,0.1016,0,0,2,0.0046,0,0,15,0.0346,490,910,938,96,0.1959,15,0.0306,49,0.1,22,0.0449,25,0.051,38,0.0776,0,0,3,0.0061,1,0.002,13,0.0265,438,873,921,74,0.1689,7,0.016,62,0.1416,16,0.0365,27,0.0616,34,0.0776,0,0,0,0,0,0,8,0.0183
57,102,151,19,0.1863,0,0,33,0.3235,13,0.1275,15,0.1471,11,0.1078,0,0,0,0,0,0,0,0,98,143,145,16,0.1633,2,0.0204,24,0.2449,9,0.0918,15,0.1531,12,0.1224,0,0,0,0,0,0,0,0,100,141,157,16,0.16,2,0.02,15,0.15,8,0.08,12,0.12,10,0.1,0,0,0,0,0,0,0,0
58,443,1123,90,0.2032,8,0.0181,84,0.1896,34,0.0767,38,0.0858,39,0.088,4,0.009,2,0.0045,1,0.0023,23,0.0519,415,1050,964,77,0.1855,6,0.0145,61,0.147,32,0.0771,38,0.0916,31,0.0747,3,0.0072,1,0.0024,2,0.0048,17,0.041,499,1147,1072,82,0.1643,7,0.014,79,0.1583,42,0.0842,45,0.0902,27,0.0541,0,0,4,0.008,0,0,14,0.0281
59,605,1577,74,0.1223,16,0.0264,117,0.1934,37,0.0612,28,0.0463,38,0.0628,2,0.0033,0,0,0,0,22,0.0364,684,1784,1037,80,0.117,22,0.0322,126,0.1842,55,0.0804,27,0.0395,43,0.0629,5,0.0073,1,0.0015,1,0.0015,21,0.0307,674,1723,1079,72,0.1068,16,0.0237,136,0.2018,58,0.0861,28,0.0415,29,0.043,2,0.003,1,0.0015,0,0,18,0.0267
60,108,155,9,0.0833,3,0.0278,13,0.1204,5,0.0463,5,0.0463,3,0.0278,1,0.0093,0,0,0,0,2,0.0185,119,204,195,14,0.1176,1,0.0084,27,0.2269,3,0.0252,4,0.0336,9,0.0756,1,0.0084,1,0.0084,0,0,4,0.0336,133,228,206,16,0.1203,4,0.0301,27,0.203,5,0.0376,8,0.0602,7,0.0526,3,0.0226,1,0.0075,0,0,2,0.015
61,169,298,13,0.0769,1,0.0059,27,0.1598,7,0.0414,11,0.0651,3,0.0178,0,0,4,0.0237,0,0,8,0.0473,174,297,182,20,0.1149,1,0.0057,18,0.1034,11,0.0632,10,0.0575,10,0.0575,1,0.0057,1,0.0057,0,0,7,0.0402,178,295,168,16,0.0899,2,0.0112,30,0.1685,11,0.0618,15,0.0843,11,0.0618,1,0.0056,0,0,0,0,4,0.0225
62,161,256,49,0.3043,5,0.0311,26,0.1615,18,0.1118,80,0.4969,41,0.2547,0,0,22,0.1366,3,0.0186,11,0.0683,170,298,585,68,0.4,6,0.0353,36,0.2118,13,0.0765,113,0.6647,62,0.3647,6,0.0353,37,0.2176,2,0.0118,23,0.1353,229,427,907,87,0.3799,5,0.0218,47,0.2052,28,0.1223,163,0.7118,76,0.3319,5,0.0218,48,0.2096,3,0.0131,33,0.1441
63,783,1581,124,0.1584,8,0.0102,159,0.2031,46,0.0587,34,0.0434,32,0.0409,3,0.0038,2,0.0026,1,0.0013,19,0.0243,749,1505,1709,133,0.1776,3,0.004,109,0.1455,29,0.0387,38,0.0507,32,0.0427,1,0.0013,6,0.008,2,0.0027,18,0.024,749,1434,1699,117,0.1562,11,0.0147,125,0.1669,50,0.0668,31,0.0414,47,0.0628,7,0.0093,0,0,1,0.0013,10,0.0134
64,405,744,32,0.079,2,0.0049,68,0.1679,19,0.0469,13,0.0321,11,0.0272,1,0.0025,1,0.0025,1,0.0025,6,0.0148,403,743,704,25,0.062,2,0.005,82,0.2035,25,0.062,12,0.0298,5,0.0124,1,0.0025,1,0.0025,0,0,6,0.0149,434,790,855,26,0.0599,3,0.0069,86,0.1982,32,0.0737,22,0.0507,8,0.0184,2,0.0046,3,0.0069,0,0,10,0.023
65,177,317,17,0.096,5,0.0282,17,0.096,10,0.0565,9,0.0508,7,0.0395,2,0.0113,0,0,0,0,4,0.0226,221,397,429,30,0.1357,4,0.0181,27,0.1222,6,0.0271,13,0.0588,8,0.0362,2,0.009,2,0.009,0,0,2,0.009,218,376,396,27,0.1239,4,0.0183,27,0.1239,10,0.0459,16,0.0734,11,0.0505,2,0.0092,0,0,0,0,3,0.0138
66,220,354,42,0.1909,17,0.0773,31,0.1409,16,0.0727,11,0.05,20,0.0909,9,0.0409,1,0.0045,0,0,4,0.0182,229,373,525,39,0.1703,19,0.083,25,0.1092,10,0.0437,12,0.0524,20,0.0873,7,0.0306,1,0.0044,1,0.0044,3,0.0131,249,361,549,29,0.1165,25,0.1004,35,0.1406,17,0.0683,15,0.0602,14,0.0562,7,0.0281,0,0,0,0,5,0.0201
67,1321,4473,143,0.1083,11,0.0083,112,0.0848,52,0.0394,77,0.0583,79,0.0598,1,0.0008,14,0.0106,10,0.0076,16,0.0121,929,2693,1411,100,0.1076,12,0.0129,127,0.1367,32,0.0344,53,0.0571,42,0.0452,3,0.0032,7,0.0075,6,0.0065,21,0.0226,848,2668,1530,112,0.1321,4,0.0047,102,0.1203,57,0.0672,44,0.0519,49,0.0578,1,0.0012,11,0.013,5,0.0059,20,0.0236
68,605,2189,102,0.1686,4,0.0066,89,0.1471,64,0.1058,72,0.119,38,0.0628,1,0.0017,26,0.043,32,0.0529,13,0.0215,631,2097,2116,113,0.1791,10,0.0158,83,0.1315,45,0.0713,57,0.0903,36,0.0571,2,0.0032,21,0.0333,20,0.0317,17,0.0269,641,2140,2240,106,0.1654,7,0.0109,89,0.1388,67,0.1045,45,0.0702,34,0.053,1,0.0016,10,0.0156,19,0.0296,8,0.0125
69,1118,4172,214,0.1914,11,0.0098,92,0.0823,36,0.0322,57,0.051,89,0.0796,5,0.0045,7,0.0063,5,0.0045,16,0.0143,1066,3803,1317,216,0.2026,12,0.0113,75,0.0704,32,0.03,38,0.0356,84,0.0788,3,0.0028,4,0.0038,2,0.0019,12,0.0113,1066,3772,1336,213,0.1998,5,0.0047,62,0.0582,36,0.0338,51,0.0478,73,0.0685,1,0.0009,5,0.0047,0,0,11,0.0103
70,301,937,32,0.1063,3,0.01,17,0.0565,18,0.0598,7,0.0233,9,0.0299,3,0.01,1,0.0033,0,0,0,0,263,742,335,19,0.0722,4,0.0152,28,0.1065,17,0.0646,8,0.0304,7,0.0266,2,0.0076,1,0.0038,4,0.0152,10,0.038,284,829,445,21,0.0739,4,0.0141,22,0.0775,11,0.0387,12,0.0423,8,0.0282,2,0.007,0,0,0,0,2,0.007
71,508,1142,79,0.1555,6,0.0118,63,0.124,15,0.0295,30,0.0591,45,0.0886,3,0.0059,3,0.0059,0,0,12,0.0236,527,1286,1153,80,0.1518,5,0.0095,80,0.1518,17,0.0323,47,0.0892,57,0.1082,3,0.0057,8,0.0152,2,0.0038,23,0.0436,770,1808,1519,101,0.1312,8,0.0104,110,0.1429,31,0.0403,98,0.1273,56,0.0727,5,0.0065,12,0.0156,2,0.0026,12,0.0156
72,333,714,30,0.0901,17,0.0511,34,0.1021,8,0.024,9,0.027,15,0.045,8,0.024,0,0,0,0,2,0.006,312,664,273,26,0.0833,19,0.0609,33,0.1058,2,0.0064,6,0.0192,18,0.0577,10,0.0321,0,0,0,0,10,0.0321,440,921,476,40,0.0909,75,0.1705,36,0.0818,10,0.0227,8,0.0182,18,0.0409,24,0.0545,1,0.0023,0,0,5,0.0114
73,398,819,63,0.1583,2,0.005,38,0.0955,17,0.0427,13,0.0327,34,0.0854,1,0.0025,2,0.005,0,0,13,0.0327,425,893,417,62,0.1459,3,0.0071,51,0.12,27,0.0635,14,0.0329,31,0.0729,3,0.0071,0,0,1,0.0024,12,0.0282,413,798,440,75,0.1816,0,0,55,0.1332,25,0.0605,11,0.0266,39,0.0944,0,0,0,0,1,0.0024,10,0.0242
74,330,770,50,0.1515,3,0.0091,47,0.1424,9,0.0273,12,0.0364,25,0.0758,1,0.003,1,0.003,0,0,14,0.0424,337,793,371,38,0.1128,10,0.0297,40,0.1187,20,0.0593,12,0.0356,15,0.0445,1,0.003,2,0.0059,0,0,7,0.0208,318,831,366,33,0.1038,4,0.0126,38,0.1195,11,0.0346,12,0.0377,16,0.0503,0,0,0,0,0,0,7,0.022
75,299,753,36,0.1204,4,0.0134,37,0.1237,14,0.0468,14,0.0468,12,0.0401,2,0.0067,0,0,0,0,4,0.0134,335,777,592,27,0.0806,1,0.003,37,0.1104,16,0.0478,20,0.0597,11,0.0328,1,0.003,2,0.006,0,0,7,0.0209,311,727,664,27,0.0868,3,0.0096,42,0.135,21,0.0675,25,0.0804,14,0.045,0,0,0,0,0,0,10,0.0322
76,1153,3575,115,0.0997,13,0.0113,129,0.1119,56,0.0486,46,0.0399,45,0.039,5,0.0043,8,0.0069,0,0,14,0.0121,1116,3330,1126,131,0.1174,13,0.0116,104,0.0932,61,0.0547,32,0.0287,65,0.0582,4,0.0036,5,0.0045,0,0,13,0.0116,1061,2896,1031,79,0.0745,5,0.0047,125,0.1178,58,0.0547,45,0.0424,31,0.0292,1,0.0009,3,0.0028,0,0,18,0.017
77,1000,3033,148,0.148,8,0.008,164,0.164,49,0.049,59,0.059,70,0.07,2,0.002,5,0.005,1,0.001,26,0.026,1026,3107,3096,129,0.1257,20,0.0195,176,0.1715,49,0.0478,54,0.0526,53,0.0517,4,0.0039,2,0.0019,2,0.0019,23,0.0224,1036,3227,3378,129,0.1245,9,0.0087,155,0.1496,64,0.0618,77,0.0743,49,0.0473,5,0.0048,6,0.0058,4,0.0039,13,0.0125
78,395,789,44,0.1114,16,0.0405,62,0.157,24,0.0608,30,0.0759,18,0.0456,8,0.0203,2,0.0051,1,0.0025,10,0.0253,355,595,887,35,0.0986,11,0.031,64,0.1803,18,0.0507,19,0.0535,11,0.031,6,0.0169,1,0.0028,2,0.0056,6,0.0169,361,699,1056,44,0.1219,14,0.0388,54,0.1496,23,0.0637,26,0.072,15,0.0416,6,0.0166,2,0.0055,0,0,3,0.0083
79,489,1224,73,0.1493,11,0.0225,52,0.1063,15,0.0307,33,0.0675,33,0.0675,4,0.0082,2,0.0041,2,0.0041,21,0.0429,535,1292,461,63,0.1178,14,0.0262,41,0.0766,22,0.0411,45,0.0841,24,0.0449,8,0.015,4,0.0075,0,0,5,0.0093,496,1154,446,50,0.1008,11,0.0222,48,0.0968,19,0.0383,33,0.0665,14,0.0282,7,0.0141,3,0.006,4,0.0081,11,0.0222
80,371,932,51,0.1375,8,0.0216,44,0.1186,18,0.0485,27,0.0728,16,0.0431,5,0.0135,3,0.0081,0,0,10,0.027,376,915,634,59,0.1569,11,0.0293,36,0.0957,21,0.0559,27,0.0718,23,0.0612,6,0.016,4,0.0106,6,0.016,8,0.0213,367,927,684,49,0.1335,6,0.0163,48,0.1308,24,0.0654,27,0.0736,16,0.0436,4,0.0109,0,0,3,0.0082,8,0.0218
81,689,2136,55,0.0798,8,0.0116,73,0.106,32,0.0464,34,0.0493,25,0.0363,4,0.0058,0,0,1,0.0015,18,0.0261,481,1457,1032,53,0.1102,6,0.0125,75,0.1559,21,0.0437,19,0.0395,21,0.0437,5,0.0104,1,0.0021,0,0,11,0.0229,523,1581,1355,56,0.1071,8,0.0153,75,0.1434,36,0.0688,30,0.0574,25,0.0478,3,0.0057,1,0.0019,2,0.0038,15,0.0287
82,312,672,39,0.125,1,0.0032,34,0.109,13,0.0417,9,0.0288,22,0.0705,0,0,1,0.0032,1,0.0032,3,0.0096,274,601,300,29,0.1058,1,0.0036,40,0.146,7,0.0255,19,0.0693,18,0.0657,0,0,4,0.0146,0,0,9,0.0328,264,584,346,33,0.125,0,0,29,0.1098,10,0.0379,15,0.0568,13,0.0492,0,0,2,0.0076,0,0,8,0.0303
83,415,809,70,0.1687,15,0.0361,17,0.041,27,0.0651,45,0.1084,23,0.0554,4,0.0096,6,0.0145,3,0.0072,2,0.0048,454,1025,1772,64,0.141,15,0.033,25,0.0551,25,0.0551,31,0.0683,13,0.0286,9,0.0198,1,0.0022,1,0.0022,2,0.0044,470,977,1821,60,0.1277,11,0.0234,16,0.034,26,0.0553,42,0.0894,22,0.0468,2,0.0043,9,0.0191,1,0.0021,4,0.0085
84,583,1351,51,0.0875,6,0.0103,54,0.0926,22,0.0377,26,0.0446,25,0.0429,4,0.0069,0,0,14,0.024,32,0.0549,557,1285,361,45,0.0808,6,0.0108,45,0.0808,19,0.0341,34,0.061,31,0.0557,3,0.0054,5,0.009,5,0.009,7,0.0126,541,1229,422,49,0.0906,5,0.0092,40,0.0739,20,0.037,37,0.0684,31,0.0573,2,0.0037,8,0.0148,3,0.0055,6,0.0111
85,174,339,11,0.0632,4,0.023,9,0.0517,6,0.0345,7,0.0402,3,0.0172,0,0,1,0.0057,0,0,1,0.0057,138,266,136,9,0.0652,1,0.0072,9,0.0652,3,0.0217,7,0.0507,5,0.0362,0,0,1,0.0072,0,0,2,0.0145,166,327,171,6,0.0361,0,0,19,0.1145,8,0.0482,7,0.0422,4,0.0241,0,0,1,0.006,0,0,6,0.0361
86,89,227,13,0.1461,0,0,26,0.2921,2,0.0225,49,0.5506,13,0.1461,0,0,3,0.0337,0,0,4,0.0449,81,215,398,17,0.2099,0,0,26,0.321,3,0.037,51,0.6296,17,0.2099,0,0,8,0.0988,1,0.0123,5,0.0617,94,260,396,11,0.117,0,0,28,0.2979,1,0.0106,49,0.5213,10,0.1064,0,0,3,0.0319,0,0,5,0.0532
87,398,1029,81,0.2035,21,0.0528,87,0.2186,32,0.0804,19,0.0477,21,0.0528,3,0.0075,1,0.0025,0,0,10,0.0251,430,1069,1368,79,0.1837,40,0.093,107,0.2488,30,0.0698,20,0.0465,25,0.0581,7,0.0163,0,0,1,0.0023,8,0.0186,455,1159,1546,86,0.189,50,0.1099,108,0.2374,49,0.1077,18,0.0396,22,0.0484,15,0.033,1,0.0022,3,0.0066,6,0.0132
88,896,2594,130,0.1451,31,0.0346,151,0.1685,39,0.0435,66,0.0737,60,0.067,11,0.0123,4,0.0045,0,0,12,0.0134,964,2593,2356,135,0.14,31,0.0322,183,0.1898,56,0.0581,29,0.0301,60,0.0622,9,0.0093,3,0.0031,0,0,19,0.0197,976,2691,2505,125,0.1281,33,0.0338,171,0.1752,65,0.0666,39,0.04,37,0.0379,15,0.0154,0,0,1,0.001,37,0.0379
89,482,1054,105,0.2178,9,0.0187,29,0.0602,30,0.0622,28,0.0581,36,0.0747,0,0,1,0.0021,0,0,0,0,485,1150,455,86,0.1773,8,0.0165,40,0.0825,16,0.033,32,0.066,41,0.0845,0,0,2,0.0041,0,0,0,0,522,1151,472,94,0.1801,5,0.0096,34,0.0651,23,0.0441,38,0.0728,41,0.0785,0,0,3,0.0057,0,0,1,0.0019
90,716,2193,78,0.1089,30,0.0419,73,0.102,27,0.0377,65,0.0908,32,0.0447,14,0.0196,11,0.0154,1,0.0014,10,0.014,703,2212,1388,87,0.1238,14,0.0199,83,0.1181,26,0.037,65,0.0925,23,0.0327,8,0.0114,18,0.0256,1,0.0014,14,0.0199,823,2547,1839,105,0.1276,27,0.0328,87,0.1057,38,0.0462,64,0.0778,29,0.0352,9,0.0109,11,0.0134,1,0.0012,10,0.0122
91,649,1371,74,0.114,76,0.1171,61,0.094,12,0.0185,13,0.02,24,0.037,26,0.0401,3,0.0046,1,0.0015,8,0.0123,845,1822,815,74,0.0876,118,0.1396,60,0.071,17,0.0201,10,0.0118,23,0.0272,47,0.0556,1,0.0012,0,0,11,0.013,819,1733,806,108,0.1319,110,0.1343,59,0.072,33,0.0403,11,0.0134,32,0.0391,44,0.0537,1,0.0012,1,0.0012,8,0.0098
92,221,449,32,0.1448,1,0.0045,35,0.1584,16,0.0724,9,0.0407,22,0.0995,0,0,1,0.0045,2,0.009,11,0.0498,207,392,227,25,0.1208,3,0.0145,36,0.1739,20,0.0966,9,0.0435,17,0.0821,0,0,0,0,2,0.0097,13,0.0628,215,398,194,24,0.1116,0,0,35,0.1628,11,0.0512,9,0.0419,15,0.0698,0,0,0,0,0,0,8,0.0372
93,290,696,59,0.2034,0,0,54,0.1862,21,0.0724,34,0.1172,41,0.1414,0,0,3,0.0103,1,0.0034,10,0.0345,257,624,669,41,0.1595,3,0.0117,50,0.1946,16,0.0623,31,0.1206,28,0.1089,0,0,4,0.0156,0,0,15,0.0584,295,770,829,62,0.2102,0,0,53,0.1797,24,0.0814,27,0.0915,33,0.1119,0,0,5,0.0169,1,0.0034,10,0.0339
94,749,2370,109,0.1455,12,0.016,123,0.1642,56,0.0748,62,0.0828,34,0.0454,5,0.0067,9,0.012,2,0.0027,22,0.0294,823,2697,3251,121,0.147,5,0.0061,124,0.1507,68,0.0826,76,0.0923,47,0.0571,1,0.0012,15,0.0182,3,0.0036,19,0.0231,849,2547,3365,132,0.1555,3,0.0035,123,0.1449,83,0.0978,86,0.1013,50,0.0589,1,0.0012,14,0.0165,12,0.0141,34,0.04
95,560,1075,52,0.0929,1,0.0018,77,0.1375,21,0.0375,35,0.0625,31,0.0554,1,0.0018,0,0,0,0,12,0.0214,593,1142,752,49,0.0826,2,0.0034,76,0.1282,13,0.0219,27,0.0455,29,0.0489,1,0.0017,1,0.0017,1,0.0017,12,0.0202,553,1086,840,50,0.0904,3,0.0054,77,0.1392,32,0.0579,33,0.0597,28,0.0506,1,0.0018,0,0,0,0,14,0.0253
96,300,497,33,0.11,3,0.01,36,0.12,14,0.0467,17,0.0567,6,0.02,0,0,0,0,2,0.0067,4,0.0133,279,507,210,17,0.0609,0,0,30,0.1075,8,0.0287,11,0.0394,3,0.0108,0,0,0,0,0,0,4,0.0143,257,456,195,26,0.1012,1,0.0039,27,0.1051,16,0.0623,7,0.0272,4,0.0156,0,0,0,0,0,0,3,0.0117
97,659,1486,43,0.0653,40,0.0607,53,0.0804,28,0.0425,22,0.0334,13,0.0197,22,0.0334,0,0,0,0,6,0.0091,700,1626,549,53,0.0757,53,0.0757,56,0.08,28,0.04,18,0.0257,8,0.0114,28,0.04,2,0.0029,0,0,9,0.0129,815,1874,615,68,0.0834,54,0.0663,57,0.0699,30,0.0368,27,0.0331,20,0.0245,24,0.0294,1,0.0012,0,0,11,0.0135
98,652,2122,115,0.1764,12,0.0184,138,0.2117,56,0.0859,62,0.0951,49,0.0752,6,0.0092,6,0.0092,2,0.0031,17,0.0261,603,2052,2168,109,0.1808,9,0.0149,115,0.1907,36,0.0597,46,0.0763,43,0.0713,4,0.0066,16,0.0265,3,0.005,13,0.0216,691,2363,2570,128,0.1852,9,0.013,133,0.1925,66,0.0955,62,0.0897,46,0.0666,2,0.0029,15,0.0217,2,0.0029,22,0.0318
99,396,970,54,0.1364,4,0.0101,45,0.1136,13,0.0328,23,0.0581,21,0.053,2,0.0051,0,0,1,0.0025,14,0.0354,352,840,343,34,0.0966,11,0.0313,46,0.1307,13,0.0369,10,0.0284,13,0.0369,6,0.017,1,0.0028,0,0,17,0.0483,344,784,403,42,0.1221,10,0.0291,32,0.093,28,0.0814,19,0.0552,10,0.0291,3,0.0087,2,0.0058,0,0,7,0.0203
100,416,1062,84,0.2019,7,0.0168,89,0.2139,51,0.1226,50,0.1202,35,0.0841,1,0.0024,6,0.0144,2,0.0048,18,0.0433,384,767,714,73,0.1901,6,0.0156,68,0.1771,36,0.0938,36,0.0938,38,0.099,2,0.0052,4,0.0104,2,0.0052,23,0.0599,324,596,547,60,0.1852,5,0.0154,53,0.1636,33,0.1019,31,0.0957,17,0.0525,4,0.0123,4,0.0123,1,0.0031,14,0.0432
101,579,1590,100,0.1727,7,0.0121,105,0.1813,63,0.1088,39,0.0674,39,0.0674,2,0.0035,3,0.0052,4,0.0069,16,0.0276,621,1719,2173,92,0.1481,5,0.0081,141,0.2271,62,0.0998,52,0.0837,31,0.0499,2,0.0032,3,0.0048,4,0.0064,21,0.0338,634,1618,1989,107,0.1688,8,0.0126,114,0.1798,82,0.1293,45,0.071,64,0.1009,1,0.0016,3,0.0047,0,0,19,0.03
102,352,690,47,0.1335,1,0.0028,10,0.0284,19,0.054,16,0.0455,34,0.0966,0,0,1,0.0028,2,0.0057,10,0.0284,390,759,332,62,0.159,0,0,8,0.0205,15,0.0385,33,0.0846,32,0.0821,0,0,1,0.0026,2,0.0051,8,0.0205,334,738,266,34,0.1018,0,0,6,0.018,29,0.0868,27,0.0808,19,0.0569,0,0,1,0.003,7,0.021,6,0.018
103,1044,3358,135,0.1293,19,0.0182,145,0.1389,68,0.0651,77,0.0738,73,0.0699,7,0.0067,5,0.0048,4,0.0038,43,0.0412,1042,3346,1734,121,0.1161,7,0.0067,165,0.1583,65,0.0624,65,0.0624,55,0.0528,1,0.001,6,0.0058,4,0.0038,51,0.0489,1122,3171,1993,132,0.1176,5,0.0045,184,0.164,71,0.0633,77,0.0686,58,0.0517,3,0.0027,6,0.0053,6,0.0053,40,0.0357
104,315,770,19,0.0603,2,0.0063,24,0.0762,8,0.0254,7,0.0222,12,0.0381,1,0.0032,0,0,0,0,2,0.0063,310,720,150,17,0.0548,1,0.0032,31,0.1,9,0.029,9,0.029,3,0.0097,1,0.0032,0,0,0,0,7,0.0226,347,903,196,21,0.0605,1,0.0029,37,0.1066,13,0.0375,14,0.0403,6,0.0173,0,0,0,0,0,0,6,0.0173
105,635,1545,77,0.1213,18,0.0283,105,0.1654,48,0.0756,42,0.0661,27,0.0425,10,0.0157,6,0.0094,3,0.0047,18,0.0283,570,1435,1642,70,0.1228,17,0.0298,97,0.1702,43,0.0754,57,0.1,25,0.0439,8,0.014,6,0.0105,3,0.0053,16,0.0281,591,1469,1764,67,0.1134,18,0.0305,96,0.1624,90,0.1523,47,0.0795,19,0.0321,8,0.0135,1,0.0017,3,0.0051,15,0.0254
106,2114,5881,228,0.1079,21,0.0099,248,0.1173,35,0.0166,98,0.0464,91,0.043,6,0.0028,12,0.0057,1,0.0005,45,0.0213,2091,5827,3772,194,0.0928,12,0.0057,227,0.1086,39,0.0187,95,0.0454,89,0.0426,4,0.0019,6,0.0029,7,0.0033,37,0.0177,2213,6021,3776,215,0.0972,9,0.0041,234,0.1057,49,0.0221,125,0.0565,85,0.0384,4,0.0018,12,0.0054,4,0.0018,42,0.019
107,994,2779,124,0.1247,15,0.0151,150,0.1509,87,0.0875,82,0.0825,50,0.0503,5,0.005,3,0.003,16,0.0161,32,0.0322,982,2529,1845,115,0.1171,17,0.0173,146,0.1487,59,0.0601,67,0.0682,45,0.0458,6,0.0061,1,0.001,3,0.0031,41,0.0418,955,2539,1838,109,0.1141,24,0.0251,121,0.1267,71,0.0743,69,0.0723,46,0.0482,7,0.0073,4,0.0042,3,0.0031,30,0.0314
108,190,297,34,0.1789,2,0.0105,20,0.1053,14,0.0737,29,0.1526,17,0.0895,1,0.0053,3,0.0158,0,0,6,0.0316,184,304,479,37,0.2011,3,0.0163,21,0.1141,9,0.0489,24,0.1304,18,0.0978,1,0.0054,1,0.0054,0,0,7,0.038,174,311,450,37,0.2126,2,0.0115,15,0.0862,10,0.0575,25,0.1437,22,0.1264,0,0,2,0.0115,0,0,9,0.0517
109,410,1017,58,0.1415,3,0.0073,26,0.0634,22,0.0537,32,0.078,17,0.0415,1,0.0024,2,0.0049,1,0.0024,6,0.0146,385,836,1234,50,0.1299,2,0.0052,18,0.0468,13,0.0338,20,0.0519,10,0.026,0,0,5,0.013,2,0.0052,1,0.0026,377,825,1387,54,0.1432,0,0,18,0.0477,24,0.0637,32,0.0849,15,0.0398,0,0,4,0.0106,2,0.0053,2,0.0053
110,672,2281,77,0.1146,5,0.0074,75,0.1116,22,0.0327,33,0.0491,22,0.0327,0,0,0,0,0,0,5,0.0074,723,2115,1163,66,0.0913,4,0.0055,80,0.1107,29,0.0401,17,0.0235,27,0.0373,2,0.0028,2,0.0028,0,0,10,0.0138,785,2372,1597,68,0.0866,2,0.0025,69,0.0879,48,0.0611,25,0.0318,31,0.0395,0,0,2,0.0025,1,0.0013,14,0.0178
111,455,1037,91,0.2,9,0.0198,69,0.1516,19,0.0418,51,0.1121,44,0.0967,1,0.0022,14,0.0308,3,0.0066,11,0.0242,529,1267,1172,83,0.1569,8,0.0151,54,0.1021,25,0.0473,56,0.1059,38,0.0718,4,0.0076,16,0.0302,0,0,9,0.017,554,1292,1266,105,0.1895,27,0.0487,58,0.1047,39,0.0704,72,0.13,45,0.0812,12,0.0217,21,0.0379,4,0.0072,11,0.0199
112,1478,5842,188,0.1272,8,0.0054,203,0.1373,105,0.071,158,0.1069,48,0.0325,3,0.002,23,0.0156,2,0.0014,28,0.0189,1489,6026,6376,214,0.1437,5,0.0034,205,0.1377,124,0.0833,141,0.0947,66,0.0443,2,0.0013,20,0.0134,12,0.0081,29,0.0195,1572,6186,6816,227,0.1444,12,0.0076,247,0.1571,175,0.1113,162,0.1031,70,0.0445,4,0.0025,22,0.014,6,0.0038,25,0.0159
113,983,2440,112,0.1139,6,0.0061,95,0.0966,31,0.0315,58,0.059,45,0.0458,0,0,5,0.0051,0,0,1,0.001,918,2268,1946,117,0.1275,9,0.0098,97,0.1057,38,0.0414,50,0.0545,43,0.0468,0,0,4,0.0044,1,0.0011,1,0.0011,993,2443,2050,113,0.1138,5,0.005,117,0.1178,26,0.0262,63,0.0634,55,0.0554,0,0,3,0.003,1,0.001,2,0.002
114,762,2076,133,0.1745,16,0.021,131,0.1719,54,0.0709,61,0.0801,34,0.0446,0,0,4,0.0052,1,0.0013,11,0.0144,766,2297,3144,148,0.1932,24,0.0313,165,0.2154,58,0.0757,51,0.0666,36,0.047,0,0,5,0.0065,1,0.0013,14,0.0183,849,2447,3433,160,0.1885,17,0.02,164,0.1932,71,0.0836,82,0.0966,40,0.0471,0,0,3,0.0035,0,0,30,0.0353
