hospital,Q1_total number of tested patients,Q1_total number of specimes,Q1_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients_E. coli,Q1_isolation rate_E. coli,Q1_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients_MRSA,Q1_isolation rate_MRSA,Q1_number of patients_PRSP,Q1_isolation rate_PRSP,Q1_number of patients_CRP,Q1_isolation rate_CRP,Q1_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q2_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q2_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q2_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q2_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q2_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q2_isolation rate_MRSA,Q2_number of patients_PRSP,Q2_isolation rate_PRSP,Q2_number of patients_CRP,Q2_isolation rate_CRP,Q2_number of patients_3GCRKP,Q2_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q2_isolation rate_3GCREC,Q3_total number of tested patients,total number of specimes,total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
57,89,128,10,0.1124,1,0.0112,21,0.236,11,0.1236,11,0.1236,6,0.0674,0,0,0,0,0,0,0,0,78,119,117,5,0.0641,0,0,22,0.2821,10,0.1282,6,0.0769,2,0.0256,0,0,0,0,0,0,0,0,114,208,150,10,0.0877,0,0,14,0.1228,7,0.0614,3,0.0263,3,0.0263,0,0,0,0,0,0,4,0.0351
58,577,1515,55,0.0953,9,0.0156,111,0.1924,48,0.0832,44,0.0763,26,0.0451,3,0.0052,3,0.0052,0,0,15,0.026,566,1754,1105,69,0.1219,3,0.0053,116,0.2049,45,0.0795,38,0.0671,34,0.0601,0,0,2,0.0035,2,0.0035,23,0.0406,146,254,161,14,0.0959,0,0,31,0.2123,11,0.0753,9,0.0616,7,0.0479,0,0,2,0.0137,2,0.0137,4,0.0274
59,95,154,14,0.1474,5,0.0526,11,0.1158,3,0.0316,4,0.0421,2,0.0211,3,0.0316,0,0,0,0,1,0.0105,118,241,207,11,0.0932,3,0.0254,24,0.2034,8,0.0678,8,0.0678,1,0.0085,0,0,0,0,0,0,3,0.0254,159,277,541,72,0.4528,6,0.0377,27,0.1698,18,0.1132,97,0.6101,68,0.4277,5,0.0314,33,0.2075,0,0,17,0.1069
60,156,256,21,0.1346,0,0,23,0.1474,6,0.0385,8,0.0513,15,0.0962,0,0,0,0,0,0,5,0.0321,125,249,159,15,0.12,1,0.008,22,0.176,10,0.08,8,0.064,5,0.04,1,0.008,1,0.008,0,0,1,0.008,719,1427,1612,118,0.1641,4,0.0056,138,0.1919,44,0.0612,34,0.0473,30,0.0417,1,0.0014,2,0.0028,0,0,11,0.0153
61,168,298,60,0.3571,7,0.0417,31,0.1845,9,0.0536,103,0.6131,51,0.3036,7,0.0417,27,0.1607,1,0.006,21,0.125,155,269,521,64,0.4129,8,0.0516,24,0.1548,10,0.0645,88,0.5677,58,0.3742,7,0.0452,29,0.1871,1,0.0065,15,0.0968,414,732,743,30,0.0725,0,0,75,0.1812,27,0.0652,17,0.0411,6,0.0145,0,0,4,0.0097,2,0.0048,8,0.0193
62,720,1383,119,0.1653,10,0.0139,118,0.1639,30,0.0417,29,0.0403,25,0.0347,4,0.0056,3,0.0042,0,0,7,0.0097,602,1167,1246,83,0.1379,4,0.0066,97,0.1611,37,0.0615,24,0.0399,24,0.0399,1,0.0017,1,0.0017,2,0.0033,14,0.0233,240,414,392,29,0.1208,1,0.0042,34,0.1417,18,0.075,12,0.05,13,0.0542,0,0,1,0.0042,1,0.0042,3,0.0125
63,386,689,21,0.0544,8,0.0207,69,0.1788,26,0.0674,16,0.0415,5,0.013,3,0.0078,0,0,1,0.0026,8,0.0207,355,643,592,35,0.0986,1,0.0028,52,0.1465,22,0.062,12,0.0338,15,0.0423,0,0,0,0,2,0.0056,3,0.0085,204,362,427,37,0.1814,2,0.0098,45,0.2206,18,0.0882,14,0.0686,16,0.0784,1,0.0049,1,0.0049,0,0,6,0.0294
64,237,349,37,0.1561,4,0.0169,23,0.097,11,0.0464,13,0.0549,14,0.0591,3,0.0127,1,0.0042,0,0,3,0.0127,200,363,338,29,0.145,1,0.005,24,0.12,7,0.035,10,0.05,12,0.06,1,0.005,1,0.005,0,0,3,0.015,791,2498,1368,108,0.1365,4,0.0051,87,0.11,62,0.0784,41,0.0518,43,0.0544,1,0.0013,5,0.0063,28,0.0354,9,0.0114
65,206,330,48,0.233,9,0.0437,19,0.0922,8,0.0388,11,0.0534,18,0.0874,6,0.0291,0,0,0,0,3,0.0146,217,374,496,43,0.1982,3,0.0138,42,0.1935,16,0.0737,13,0.0599,22,0.1014,0,0,1,0.0046,0,0,7,0.0323,519,1589,1664,78,0.1503,2,0.0039,88,0.1696,39,0.0751,26,0.0501,38,0.0732,1,0.0019,9,0.0173,9,0.0173,13,0.025
66,1001,3364,109,0.1089,4,0.004,109,0.1089,65,0.0649,45,0.045,52,0.0519,1,0.001,10,0.01,17,0.017,31,0.031,795,2485,1350,102,0.1283,8,0.0101,88,0.1107,62,0.078,38,0.0478,46,0.0579,2,0.0025,2,0.0025,28,0.0352,13,0.0164,1044,3862,1343,169,0.1619,7,0.0067,75,0.0718,40,0.0383,53,0.0508,67,0.0642,2,0.0019,2,0.0019,2,0.0019,12,0.0115
67,604,1999,86,0.1424,3,0.005,90,0.149,42,0.0695,50,0.0828,30,0.0497,0,0,13,0.0215,12,0.0199,14,0.0232,504,1554,1404,66,0.131,5,0.0099,61,0.121,25,0.0496,45,0.0893,25,0.0496,0,0,17,0.0337,8,0.0159,6,0.0119,198,550,239,19,0.096,1,0.0051,20,0.101,8,0.0404,4,0.0202,10,0.0505,0,0,0,0,1,0.0051,3,0.0152
68,1128,4027,195,0.1729,12,0.0106,74,0.0656,21,0.0186,41,0.0363,56,0.0496,5,0.0044,2,0.0018,0,0,16,0.0142,926,3465,1144,130,0.1404,4,0.0043,66,0.0713,25,0.027,46,0.0497,47,0.0508,1,0.0011,2,0.0022,0,0,8,0.0086,484,1170,898,85,0.1756,6,0.0124,64,0.1322,28,0.0579,39,0.0806,52,0.1074,3,0.0062,0,0,0,0,0,0
69,273,711,19,0.0696,4,0.0147,22,0.0806,9,0.033,9,0.033,11,0.0403,0,0,0,0,0,0,1,0.0037,228,653,316,25,0.1096,1,0.0044,19,0.0833,12,0.0526,11,0.0482,15,0.0658,0,0,2,0.0088,0,0,3,0.0132,272,672,293,30,0.1103,12,0.0441,42,0.1544,5,0.0184,7,0.0257,13,0.0478,6,0.0221,1,0.0037,0,0,5,0.0184
70,515,1246,73,0.1417,5,0.0097,86,0.167,11,0.0214,46,0.0893,42,0.0816,3,0.0058,0,0,0,0,0,0,533,1293,909,74,0.1388,4,0.0075,68,0.1276,20,0.0375,39,0.0732,47,0.0882,1,0.0019,0,0,0,0,0,0,432,895,442,51,0.1181,2,0.0046,50,0.1157,32,0.0741,9,0.0208,28,0.0648,0,0,0,0,1,0.0023,10,0.0231
71,312,776,29,0.0929,28,0.0897,33,0.1058,8,0.0256,5,0.016,12,0.0385,15,0.0481,1,0.0032,0,0,2,0.0064,233,591,257,28,0.1202,3,0.0129,27,0.1159,8,0.0343,5,0.0215,22,0.0944,2,0.0086,2,0.0086,0,0,2,0.0086,304,757,413,48,0.1579,1,0.0033,58,0.1908,20,0.0658,17,0.0559,26,0.0855,0,0,1,0.0033,0,0,11,0.0362
72,503,1003,67,0.1332,7,0.0139,43,0.0855,27,0.0537,12,0.0239,29,0.0577,2,0.004,0,0,1,0.002,12,0.0239,417,860,444,50,0.1199,2,0.0048,60,0.1439,25,0.06,7,0.0168,19,0.0456,2,0.0048,1,0.0024,1,0.0024,12,0.0288,289,743,614,21,0.0727,3,0.0104,44,0.1522,24,0.083,20,0.0692,6,0.0208,1,0.0035,3,0.0104,0,0,12,0.0415
73,301,661,41,0.1362,4,0.0133,32,0.1063,13,0.0432,6,0.0199,26,0.0864,2,0.0066,0,0,0,0,3,0.01,282,650,297,32,0.1135,1,0.0035,39,0.1383,5,0.0177,10,0.0355,19,0.0674,1,0.0035,0,0,0,0,9,0.0319,1065,3309,1164,112,0.1052,2,0.0019,124,0.1164,57,0.0535,40,0.0376,53,0.0498,0,0,3,0.0028,1,0.0009,18,0.0169
74,314,825,50,0.1592,3,0.0096,52,0.1656,16,0.051,27,0.086,28,0.0892,1,0.0032,1,0.0032,0,0,11,0.035,263,646,605,29,0.1103,2,0.0076,48,0.1825,20,0.076,19,0.0722,14,0.0532,1,0.0038,2,0.0076,0,0,6,0.0228,988,3234,3381,110,0.1113,7,0.0071,159,0.1609,68,0.0688,61,0.0617,31,0.0314,2,0.002,0,0,0,0,0,0
75,1137,3587,120,0.1055,10,0.0088,122,0.1073,46,0.0405,42,0.0369,50,0.044,0,0,8,0.007,2,0.0018,20,0.0176,1016,3162,1133,114,0.1122,5,0.0049,125,0.123,50,0.0492,44,0.0433,57,0.0561,1,0.001,6,0.0059,6,0.0059,18,0.0177,299,609,777,28,0.0936,3,0.01,43,0.1438,28,0.0936,27,0.0903,6,0.0201,1,0.0033,4,0.0134,0,0,6,0.0201
76,987,3144,109,0.1104,9,0.0091,136,0.1378,55,0.0557,54,0.0547,32,0.0324,3,0.003,0,0,0,0,0,0,903,3057,3098,122,0.1351,11,0.0122,145,0.1606,45,0.0498,48,0.0532,31,0.0343,5,0.0055,0,0,0,0,0,0,495,1464,529,61,0.1232,6,0.0121,58,0.1172,40,0.0808,39,0.0788,26,0.0525,2,0.004,3,0.0061,1,0.002,9,0.0182
77,328,582,32,0.0976,6,0.0183,60,0.1829,12,0.0366,25,0.0762,10,0.0305,3,0.0091,1,0.003,1,0.003,12,0.0366,311,605,692,28,0.09,3,0.0096,45,0.1447,14,0.045,23,0.074,11,0.0354,1,0.0032,2,0.0064,0,0,6,0.0193,411,1087,728,71,0.1727,4,0.0097,49,0.1192,37,0.09,37,0.09,20,0.0487,2,0.0049,2,0.0049,9,0.0219,8,0.0195
78,560,1496,78,0.1393,15,0.0268,61,0.1089,31,0.0554,40,0.0714,34,0.0607,5,0.0089,3,0.0054,0,0,17,0.0304,438,1290,434,50,0.1142,7,0.016,60,0.137,28,0.0639,33,0.0753,17,0.0388,3,0.0068,1,0.0023,0,0,11,0.0251,460,1472,1194,44,0.0957,2,0.0043,70,0.1522,37,0.0804,36,0.0783,23,0.05,1,0.0022,3,0.0065,0,0,10,0.0217
79,335,920,59,0.1761,4,0.0119,47,0.1403,27,0.0806,23,0.0687,12,0.0358,4,0.0119,1,0.003,2,0.006,8,0.0239,314,788,506,38,0.121,7,0.0223,45,0.1433,17,0.0541,21,0.0669,9,0.0287,3,0.0096,3,0.0096,1,0.0032,9,0.0287,294,771,453,42,0.1429,2,0.0068,41,0.1395,16,0.0544,15,0.051,24,0.0816,0,0,0,0,0,0,3,0.0102
80,534,1705,48,0.0899,1,0.0019,89,0.1667,21,0.0393,32,0.0599,25,0.0468,1,0.0019,3,0.0056,1,0.0019,9,0.0169,418,1386,1040,52,0.1244,1,0.0024,66,0.1579,24,0.0574,20,0.0478,25,0.0598,0,0,1,0.0024,1,0.0024,10,0.0239,384,691,1561,73,0.1901,3,0.0078,23,0.0599,26,0.0677,49,0.1276,27,0.0703,1,0.0026,4,0.0104,0,0,2,0.0052
81,262,634,30,0.1145,1,0.0038,32,0.1221,4,0.0153,20,0.0763,18,0.0687,0,0,2,0.0076,0,0,2,0.0076,247,753,398,35,0.1417,0,0,35,0.1417,9,0.0364,16,0.0648,22,0.0891,0,0,1,0.004,0,0,3,0.0121,438,1075,360,37,0.0845,1,0.0023,50,0.1142,23,0.0525,30,0.0685,17,0.0388,0,0,6,0.0137,1,0.0023,12,0.0274
82,418,836,64,0.1531,11,0.0263,21,0.0502,23,0.055,48,0.1148,26,0.0622,3,0.0072,10,0.0239,0,0,5,0.012,365,692,1356,71,0.1945,6,0.0164,20,0.0548,14,0.0384,43,0.1178,28,0.0767,3,0.0082,6,0.0164,0,0,2,0.0055,146,315,201,9,0.0616,1,0.0068,14,0.0959,8,0.0548,14,0.0959,3,0.0205,0,0,1,0.0068,0,0,2,0.0137
83,485,1142,44,0.0907,4,0.0082,46,0.0948,12,0.0247,30,0.0619,19,0.0392,2,0.0041,6,0.0124,0,0,16,0.033,314,747,210,21,0.0669,0,0,27,0.086,11,0.035,16,0.051,11,0.035,0,0,5,0.0159,0,0,6,0.0191,84,219,303,13,0.1548,0,0,25,0.2976,5,0.0595,35,0.4167,12,0.1429,0,0,8,0.0952,1,0.0119,5,0.0595
84,147,323,12,0.0816,0,0,15,0.102,6,0.0408,2,0.0136,2,0.0136,0,0,0,0,0,0,2,0.0136,117,242,149,12,0.1026,1,0.0085,16,0.1368,5,0.0427,8,0.0684,3,0.0256,0,0,1,0.0085,0,0,3,0.0256,278,678,667,39,0.1403,3,0.0108,50,0.1799,30,0.1079,15,0.054,13,0.0468,2,0.0072,2,0.0072,0,0,8,0.0288
85,415,1157,77,0.1855,19,0.0458,86,0.2072,44,0.106,24,0.0578,15,0.0361,5,0.012,5,0.012,0,0,13,0.0313,254,676,544,36,0.1417,1,0.0039,42,0.1654,22,0.0866,12,0.0472,10,0.0394,0,0,2,0.0079,2,0.0079,6,0.0236,792,2365,2050,117,0.1477,17,0.0215,142,0.1793,62,0.0783,36,0.0455,40,0.0505,3,0.0038,4,0.0051,2,0.0025,18,0.0227
86,928,2622,123,0.1325,16,0.0172,117,0.1261,45,0.0485,30,0.0323,49,0.0528,7,0.0075,12,0.0129,0,0,20,0.0216,741,2184,1688,114,0.1538,10,0.0135,136,0.1835,41,0.0553,32,0.0432,35,0.0472,5,0.0067,4,0.0054,1,0.0013,21,0.0283,437,1212,527,70,0.1602,0,0,55,0.1259,35,0.0801,21,0.0481,26,0.0595,0,0,1,0.0023,0,0,12,0.0275
87,421,1139,80,0.19,10,0.0238,50,0.1188,14,0.0333,27,0.0641,37,0.0879,2,0.0048,2,0.0048,0,0,8,0.019,440,1169,558,94,0.2136,2,0.0045,61,0.1386,26,0.0591,30,0.0682,47,0.1068,1,0.0023,4,0.0091,0,0,12,0.0273,721,2474,1541,93,0.129,7,0.0097,82,0.1137,30,0.0416,54,0.0749,31,0.043,3,0.0042,5,0.0069,0,0,16,0.0222
88,779,2632,108,0.1386,22,0.0282,75,0.0963,30,0.0385,62,0.0796,49,0.0629,16,0.0205,11,0.0141,0,0,11,0.0141,749,2541,1619,69,0.0921,8,0.0107,83,0.1108,29,0.0387,64,0.0854,31,0.0414,6,0.008,4,0.0053,3,0.004,14,0.0187,569,1444,590,65,0.1142,25,0.0439,58,0.1019,27,0.0475,21,0.0369,30,0.0527,7,0.0123,1,0.0018,1,0.0018,14,0.0246
89,691,1540,72,0.1042,59,0.0854,37,0.0535,17,0.0246,14,0.0203,31,0.0449,25,0.0362,1,0.0014,0,0,6,0.0087,518,1235,496,63,0.1216,22,0.0425,59,0.1139,17,0.0328,8,0.0154,24,0.0463,5,0.0097,2,0.0039,1,0.0019,4,0.0077,255,511,295,41,0.1608,0,0,40,0.1569,16,0.0627,20,0.0784,29,0.1137,0,0,0,0,2,0.0078,9,0.0353
90,218,418,29,0.133,3,0.0138,35,0.1606,17,0.078,2,0.0092,20,0.0917,0,0,0,0,0,0,14,0.0642,215,432,257,38,0.1767,0,0,36,0.1674,17,0.0791,17,0.0791,26,0.1209,0,0,1,0.0047,1,0.0047,11,0.0512,280,753,882,60,0.2143,0,0,69,0.2464,27,0.0964,32,0.1143,40,0.1429,0,0,2,0.0071,1,0.0036,11,0.0393
91,284,796,63,0.2218,2,0.007,55,0.1937,24,0.0845,33,0.1162,50,0.1761,0,0,6,0.0211,2,0.007,12,0.0423,242,643,710,50,0.2066,2,0.0083,47,0.1942,19,0.0785,23,0.095,36,0.1488,0,0,1,0.0041,2,0.0083,5,0.0207,707,2449,2876,119,0.1683,2,0.0028,117,0.1655,64,0.0905,65,0.0919,38,0.0537,1,0.0014,11,0.0156,8,0.0113,28,0.0396
92,683,2196,104,0.1523,4,0.0059,94,0.1376,39,0.0571,55,0.0805,36,0.0527,0,0,11,0.0161,3,0.0044,25,0.0366,657,2204,2398,93,0.1416,2,0.003,109,0.1659,37,0.0563,39,0.0594,32,0.0487,1,0.0015,7,0.0107,7,0.0107,25,0.0381,266,585,429,25,0.094,1,0.0038,51,0.1917,19,0.0714,20,0.0752,20,0.0752,0,0,3,0.0113,0,0,6,0.0226
93,485,885,46,0.0948,1,0.0021,55,0.1134,18,0.0371,27,0.0557,28,0.0577,1,0.0021,2,0.0041,0,0,5,0.0103,327,685,500,32,0.0979,1,0.0031,59,0.1804,20,0.0612,14,0.0428,15,0.0459,1,0.0031,1,0.0031,1,0.0031,9,0.0275,209,375,194,26,0.1244,0,0,25,0.1196,9,0.0431,11,0.0526,9,0.0431,0,0,0,0,1,0.0048,5,0.0239
94,258,439,22,0.0853,0,0,32,0.124,8,0.031,9,0.0349,7,0.0271,0,0,0,0,1,0.0039,6,0.0233,228,390,204,19,0.0833,1,0.0044,20,0.0877,10,0.0439,14,0.0614,5,0.0219,0,0,0,0,1,0.0044,3,0.0132,502,1146,484,27,0.0538,5,0.01,57,0.1135,30,0.0598,35,0.0697,11,0.0219,4,0.008,7,0.0139,1,0.002,10,0.0199
95,694,1559,37,0.0533,42,0.0605,67,0.0965,22,0.0317,36,0.0519,9,0.013,22,0.0317,2,0.0029,0,0,19,0.0274,486,1122,392,32,0.0658,5,0.0103,46,0.0947,24,0.0494,19,0.0391,14,0.0288,2,0.0041,3,0.0062,2,0.0041,6,0.0123,560,1719,2019,103,0.1839,9,0.0161,98,0.175,63,0.1125,53,0.0946,37,0.0661,5,0.0089,6,0.0107,0,0,18,0.0321
96,582,1963,109,0.1873,9,0.0155,129,0.2216,50,0.0859,58,0.0997,48,0.0825,3,0.0052,12,0.0206,1,0.0017,29,0.0498,473,1553,1659,95,0.2008,9,0.019,78,0.1649,36,0.0761,43,0.0909,41,0.0867,3,0.0063,6,0.0127,4,0.0085,17,0.0359,321,753,397,33,0.1028,2,0.0062,37,0.1153,18,0.0561,20,0.0623,13,0.0405,1,0.0031,0,0,2,0.0062,8,0.0249
97,362,810,32,0.0884,4,0.011,54,0.1492,21,0.058,23,0.0635,17,0.047,4,0.011,0,0,1,0.0028,10,0.0276,342,757,354,40,0.117,1,0.0029,49,0.1433,25,0.0731,15,0.0439,20,0.0585,1,0.0029,1,0.0029,2,0.0058,16,0.0468,308,544,443,50,0.1623,2,0.0065,55,0.1786,36,0.1169,17,0.0552,29,0.0942,0,0,1,0.0032,0,0,9,0.0292
98,329,605,71,0.2158,4,0.0122,51,0.155,32,0.0973,24,0.0729,35,0.1064,4,0.0122,1,0.003,1,0.003,10,0.0304,229,433,372,45,0.1965,6,0.0262,35,0.1528,26,0.1135,12,0.0524,24,0.1048,6,0.0262,1,0.0044,1,0.0044,5,0.0218,613,1652,2005,80,0.1305,3,0.0049,128,0.2088,73,0.1191,42,0.0685,35,0.0571,2,0.0033,4,0.0065,0,0,23,0.0375
99,564,1568,86,0.1525,8,0.0142,112,0.1986,59,0.1046,34,0.0603,43,0.0762,2,0.0035,5,0.0089,4,0.0071,13,0.023,583,1665,2051,95,0.163,2,0.0034,137,0.235,62,0.1063,26,0.0446,41,0.0703,1,0.0017,7,0.012,1,0.0017,22,0.0377,320,761,341,37,0.1156,1,0.0031,6,0.0188,28,0.0875,28,0.0875,25,0.0781,1,0.0031,2,0.0063,2,0.0063,6,0.0188
100,269,569,35,0.1301,1,0.0037,3,0.0112,17,0.0632,13,0.0483,18,0.0669,0,0,0,0,1,0.0037,3,0.0112,364,791,346,62,0.1703,1,0.0027,7,0.0192,15,0.0412,29,0.0797,36,0.0989,1,0.0027,2,0.0055,5,0.0137,7,0.0192,1151,3540,2223,139,0.1208,7,0.0061,159,0.1381,86,0.0747,104,0.0904,45,0.0391,4,0.0035,4,0.0035,8,0.007,48,0.0417
101,1014,3089,121,0.1193,5,0.0049,146,0.144,49,0.0483,63,0.0621,50,0.0493,2,0.002,3,0.003,2,0.002,31,0.0306,1018,3152,1701,100,0.0982,4,0.0039,142,0.1395,51,0.0501,72,0.0707,39,0.0383,1,0.001,5,0.0049,4,0.0039,38,0.0373,319,805,161,25,0.0784,0,0,26,0.0815,11,0.0345,8,0.0251,12,0.0376,0,0,0,0,1,0.0031,7,0.0219
102,310,814,22,0.071,1,0.0032,22,0.071,13,0.0419,12,0.0387,11,0.0355,0,0,0,0,0,0,2,0.0065,285,832,130,17,0.0596,0,0,26,0.0912,5,0.0175,10,0.0351,4,0.014,0,0,1,0.0035,0,0,5,0.0175,654,1524,1260,72,0.1101,7,0.0107,71,0.1086,58,0.0887,46,0.0703,30,0.0459,4,0.0061,6,0.0092,4,0.0061,19,0.0291
103,728,1755,104,0.1429,9,0.0124,97,0.1332,59,0.081,32,0.044,23,0.0316,4,0.0055,2,0.0027,7,0.0096,16,0.022,585,1438,1158,69,0.1179,1,0.0017,85,0.1453,48,0.0821,30,0.0513,32,0.0547,0,0,0,0,1,0.0017,12,0.0205,1979,5789,3463,165,0.0834,4,0.002,240,0.1213,58,0.0293,101,0.051,51,0.0258,1,0.0005,13,0.0066,4,0.002,23,0.0116
104,2130,6224,169,0.0793,6,0.0028,205,0.0962,48,0.0225,92,0.0432,72,0.0338,2,0.0009,14,0.0066,4,0.0019,29,0.0136,1770,5589,2702,149,0.0842,4,0.0023,184,0.104,33,0.0186,57,0.0322,58,0.0328,2,0.0011,14,0.0079,6,0.0034,33,0.0186,993,2680,1938,114,0.1148,6,0.006,163,0.1641,102,0.1027,67,0.0675,39,0.0393,1,0.001,3,0.003,13,0.0131,30,0.0302
105,1039,2646,130,0.1251,20,0.0192,144,0.1386,67,0.0645,85,0.0818,48,0.0462,7,0.0067,0,0,5,0.0048,38,0.0366,944,2436,1709,106,0.1123,8,0.0085,148,0.1568,66,0.0699,64,0.0678,44,0.0466,3,0.0032,1,0.0011,10,0.0106,39,0.0413,173,293,460,39,0.2254,2,0.0116,17,0.0983,13,0.0751,31,0.1792,19,0.1098,2,0.0116,3,0.0173,1,0.0058,4,0.0231
106,152,255,43,0.2829,2,0.0132,11,0.0724,5,0.0329,21,0.1382,30,0.1974,1,0.0066,1,0.0066,0,0,5,0.0329,164,256,402,36,0.2195,2,0.0122,19,0.1159,15,0.0915,26,0.1585,22,0.1341,2,0.0122,4,0.0244,1,0.0061,6,0.0366,349,837,1416,58,0.1662,0,0,31,0.0888,23,0.0659,34,0.0974,19,0.0544,0,0,1,0.0029,0,0,5,0.0143
107,409,919,62,0.1516,2,0.0049,35,0.0856,17,0.0416,22,0.0538,14,0.0342,1,0.0024,2,0.0049,0,0,4,0.0098,323,767,1040,44,0.1362,1,0.0031,16,0.0495,16,0.0495,20,0.0619,10,0.031,0,0,3,0.0093,1,0.0031,3,0.0093,684,2318,1518,84,0.1228,1,0.0015,63,0.0921,43,0.0629,41,0.0599,28,0.0409,0,0,4,0.0058,2,0.0029,7,0.0102
108,712,2130,71,0.0997,3,0.0042,55,0.0772,31,0.0435,30,0.0421,35,0.0492,1,0.0014,2,0.0028,0,0,8,0.0112,603,1884,1192,62,0.1028,0,0,67,0.1111,34,0.0564,27,0.0448,24,0.0398,0,0,2,0.0033,1,0.0017,7,0.0116,482,1281,1184,79,0.1639,5,0.0104,68,0.1411,44,0.0913,69,0.1432,26,0.0539,1,0.0021,11,0.0228,5,0.0104,17,0.0353
109,478,1136,99,0.2071,7,0.0146,69,0.1444,28,0.0586,59,0.1234,40,0.0837,0,0,12,0.0251,4,0.0084,12,0.0251,416,1076,940,69,0.1659,7,0.0168,60,0.1442,23,0.0553,53,0.1274,26,0.0625,3,0.0072,9,0.0216,3,0.0072,19,0.0457,1328,5112,5302,185,0.1393,0,0,208,0.1566,137,0.1032,123,0.0926,40,0.0301,0,0,10,0.0075,12,0.009,28,0.0211
110,896,2333,119,0.1328,5,0.0056,106,0.1183,37,0.0413,64,0.0714,56,0.0625,1,0.0011,5,0.0056,0,0,1,0.0011,685,1780,1624,89,0.1299,2,0.0029,92,0.1343,22,0.0321,52,0.0759,35,0.0511,0,0,1,0.0015,0,0,0,0,846,2041,1774,103,0.1217,3,0.0035,91,0.1076,34,0.0402,60,0.0709,35,0.0414,0,0,5,0.0059,0,0,1,0.0012
111,750,2080,148,0.1973,15,0.02,173,0.2307,49,0.0653,60,0.08,27,0.036,0,0,0,0,0,0,33,0.044,699,1993,2715,131,0.1874,3,0.0043,158,0.226,50,0.0715,73,0.1044,39,0.0558,0,0,0,0,0,0,44,0.0629,738,2002,2889,134,0.1816,7,0.0095,164,0.2222,61,0.0827,60,0.0813,37,0.0501,0,0,0,0,0,0,43,0.0583
112,601,1888,89,0.1481,2,0.0033,94,0.1564,55,0.0915,17,0.0283,30,0.0499,0,0,0,0,2,0.0033,15,0.025,515,1662,1271,69,0.134,2,0.0039,86,0.167,65,0.1262,17,0.033,32,0.0621,2,0.0039,1,0.0019,2,0.0039,11,0.0214,559,1949,1567,67,0.1199,0,0,111,0.1986,97,0.1735,31,0.0555,23,0.0411,0,0,2,0.0036,8,0.0143,16,0.0286
113,803,2403,176,0.2192,27,0.0336,123,0.1532,42,0.0523,62,0.0772,66,0.0822,15,0.0187,5,0.0062,2,0.0025,24,0.0299,716,2146,2158,133,0.1858,6,0.0084,101,0.1411,34,0.0475,41,0.0573,46,0.0642,1,0.0014,3,0.0042,0,0,20,0.0279,781,2333,2549,161,0.2061,10,0.0128,122,0.1562,53,0.0679,66,0.0845,56,0.0717,6,0.0077,3,0.0038,3,0.0038,16,0.0205
114,1358,4654,200,0.1473,27,0.0199,193,0.1421,86,0.0633,94,0.0692,65,0.0479,16,0.0118,11,0.0081,6,0.0044,21,0.0155,1301,4386,3897,202,0.1553,11,0.0085,225,0.1729,72,0.0553,78,0.06,71,0.0546,4,0.0031,5,0.0038,3,0.0023,29,0.0223,1301,4609,4119,150,0.1153,14,0.0108,212,0.163,97,0.0746,113,0.0869,47,0.0361,7,0.0054,6,0.0046,3,0.0023,29,0.0223
115,462,1754,76,0.1645,3,0.0065,49,0.1061,39,0.0844,19,0.0411,28,0.0606,0,0,1,0.0022,3,0.0065,10,0.0216,433,1551,663,67,0.1547,2,0.0046,51,0.1178,22,0.0508,25,0.0577,24,0.0554,0,0,1,0.0023,0,0,14,0.0323,495,1623,704,67,0.1354,1,0.002,57,0.1152,35,0.0707,20,0.0404,17,0.0343,0,0,1,0.002,3,0.0061,12,0.0242
